name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost_for_two,type
The Chocolate Room,Yes,No,3.9,153,JP Nagar,others,"Cafe, Desserts",400.0,Dine-out
Refresh,Yes,Yes,3.2,501,Brookefield,Cafe,others,500.0,Cafes
Karama Restaurant,Yes,Yes,4.4,2866,Frazer Town,Casual Dining,others,750.0,Delivery
Gudguda Prime Cafe,No,Yes,4.2,818,Koramangala 6th Block,Cafe,others,800.0,Dine-out
Arya S.L.Bakery,No,No,3.2,0,Richmond Road,others,others,200.0,Desserts
Foodzoo,Yes,No,3.7,122,HSR,Quick Bites,others,300.0,Delivery
Night Biryani,Yes,No,3.2,21,BTM,"Takeaway, Delivery","Biryani, North Indian",600.0,Delivery
Ishta Upahar,Yes,No,3.4,41,Ulsoor,Quick Bites,South Indian,100.0,Delivery
The Old Fashioned Bar,No,Yes,4.5,577,Koramangala 6th Block,others,others,1000.0,Drinks & nightlife
Amritsari Kulcha Land,Yes,No,4.1,260,JP Nagar,Quick Bites,North Indian,300.0,Delivery
Arham's Resto,No,No,3.4,0,Vasanth Nagar,Quick Bites,others,250.0,Dine-out
Little Kolkata,Yes,No,3.9,96,Ejipura,Quick Bites,others,500.0,Delivery
Tea Totallers,Yes,No,3.0,19,Bellandur,Cafe,others,500.0,Cafes
Art of Delight,No,No,4.4,1896,Residency Road,Dessert Parlor,others,400.0,Desserts
Swadista Aahar,Yes,No,4.1,789,BTM,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300.0,Delivery
Empire Restaurant,Yes,No,4.1,6914,Koramangala 5th Block,Casual Dining,others,750.0,Buffet
Juice Junction,Yes,No,4.0,139,Koramangala 5th Block,others,others,200.0,Delivery
Purple Cafe,No,No,3.5,0,Kammanahalli,others,others,300.0,Desserts
Chaai Resto,Yes,No,3.9,97,Kalyan Nagar,Cafe,others,350.0,Dine-out
D'Brooks,Yes,No,3.4,8,Brookefield,Quick Bites,"North Indian, Continental",400.0,Delivery
Kavya Sagar,No,No,2.9,11,Richmond Road,Quick Bites,"South Indian, North Indian",250.0,Dine-out
Chandni Chowk 2 Bangalore,Yes,No,4.2,241,Jeevan Bhima Nagar,Quick Bites,others,400.0,Delivery
Patio 805,Yes,Yes,4.1,367,Jayanagar,Casual Dining,others,1200.0,Delivery
Bakingo,Yes,No,3.4,6,Marathahalli,Bakery,"Bakery, Desserts",500.0,Delivery
Bangali Babu Restaurant,No,No,3.0,0,BTM,others,others,250.0,Delivery
Pinxx - Royal Orchid Central,Yes,Yes,3.8,198,MG Road,Casual Dining,others,1600.0,Delivery
The Boozy Griffin,No,Yes,4.6,5015,Koramangala 5th Block,others,others,1800.0,Drinks & nightlife
Mustard Food Court,No,No,3.9,338,HSR,Casual Dining,"North Indian, Chinese",500.0,Dine-out
Ambur Biriyani,No,No,3.2,4,Old Airport Road,Quick Bites,Biryani,200.0,Dine-out
Kadala Tarangaa,Yes,No,3.7,50,Basavanagudi,Quick Bites,others,300.0,Dine-out
Pulp Juice Bar,Yes,No,3.6,16,HSR,others,others,150.0,Delivery
Jagannath Mess,No,No,3.7,0,Brookefield,others,others,300.0,Dine-out
Basmati Delights,Yes,No,4.0,869,BTM,Delivery,others,500.0,Delivery
Tadka Punjabi Restaurant,Yes,No,3.3,9,Whitefield,Quick Bites,North Indian,300.0,Dine-out
Shake The Shake,Yes,No,3.6,0,Ejipura,Quick Bites,others,200.0,Delivery
Mangalore Lunch Home,Yes,No,3.6,43,BTM,Quick Bites,others,250.0,Delivery
Aha Juice Bar,No,No,3.6,13,BTM,others,"Beverages, Fast Food",200.0,Delivery
Karma Foods,No,No,3.2,7,Brookefield,Quick Bites,"North Indian, Chinese",250.0,Dine-out
Sri Vishnu Bhavan Veg,No,No,3.6,0,Shanti Nagar,Quick Bites,"South Indian, North Indian, Chinese",250.0,Dine-out
Infinitea Tea Room & Tea Store,Yes,Yes,4.3,865,Cunningham Road,others,others,1000.0,Cafes
Maia - Eat | Bake | Mom,Yes,Yes,4.2,1034,Bellandur,Casual Dining,others,1200.0,Dine-out
Bullet Biryani,Yes,No,3.2,9,BTM,"Takeaway, Delivery",Biryani,300.0,Delivery
Friends Night Kitchen,Yes,No,3.8,109,Koramangala 6th Block,"Takeaway, Delivery","Italian, Pizza",400.0,Delivery
Royal Biryani Center,No,No,3.6,0,Jayanagar,Quick Bites,"Biryani, Fast Food",200.0,Dine-out
Copacabana Pub,No,No,3.6,0,Ulsoor,others,others,1500.0,Dine-out
Kakal Kai Ruchi,No,No,3.9,30,JP Nagar,Casual Dining,"South Indian, North Indian, Chinese",450.0,Dine-out
Cafe Monarch Luxur,No,No,3.8,23,Infantry Road,Casual Dining,others,800.0,Dine-out
Chantilly,Yes,No,4.1,115,Indiranagar,others,"Cafe, Bakery",450.0,Delivery
Smoor,Yes,No,3.6,18,Bannerghatta Road,Dessert Parlor,others,900.0,Cafes
Biryani Treat,No,No,3.3,0,Sarjapur Road,"Takeaway, Delivery",Biryani,400.0,Delivery
A Bar,No,No,3.3,19,HSR,others,"North Indian, Continental",600.0,Dine-out
Masala Central,Yes,No,3.7,75,Frazer Town,Quick Bites,North Indian,300.0,Delivery
The Salad Studio,Yes,No,4.0,107,Bellandur,Cafe,others,400.0,Cafes
Anand Donne Biriyani,Yes,No,3.7,46,Jayanagar,Quick Bites,Biryani,200.0,Delivery
Peppy Peppers,No,No,4.0,265,Banashankari,Casual Dining,others,800.0,Dine-out
Traffic,No,No,3.2,0,BTM,"Takeaway, Delivery",Beverages,100.0,Delivery
The Street Kitchen,Yes,No,3.7,16,New BEL Road,Quick Bites,others,300.0,Dine-out
CHAAI BEE,No,No,3.5,8,Koramangala 7th Block,others,others,250.0,Dine-out
BIB-Breakfast In The Box,Yes,No,4.0,0,Ulsoor,Quick Bites,others,600.0,Delivery
Fiero! Pizzeria,Yes,No,4.0,61,Koramangala 6th Block,Quick Bites,others,400.0,Dine-out
Satrangi,Yes,No,3.7,212,New BEL Road,Casual Dining,"North Indian, South Indian",900.0,Delivery
North Met South,Yes,Yes,3.0,0,Sarjapur Road,Casual Dining,"North Indian, South Indian",800.0,Delivery
Hyderabad Darbar,Yes,No,3.7,100,Electronic City,Casual Dining,others,700.0,Delivery
Friends Night Kitchen,Yes,No,3.8,110,Koramangala 6th Block,"Takeaway, Delivery","Italian, Pizza",400.0,Delivery
Tata Cha,Yes,No,3.6,32,Koramangala 7th Block,Cafe,others,500.0,Cafes
Inhouse Burger,No,No,3.5,0,Whitefield,Quick Bites,"Burger, Fast Food",500.0,Delivery
Sriji's Mithai,No,No,3.4,5,Electronic City,others,others,150.0,Dine-out
The Milkshake Theory,Yes,No,4.0,47,Koramangala 5th Block,others,"Beverages, Fast Food",400.0,Delivery
Waffle Stories,Yes,No,4.2,249,Jayanagar,Dessert Parlor,"Desserts, Beverages",300.0,Delivery
Amande Patisserie,Yes,No,4.2,233,Lavelle Road,others,others,300.0,Desserts
Shake It Off,No,No,3.7,0,Bommanahalli,others,Beverages,200.0,Delivery
Calvin's,Yes,No,3.8,433,Koramangala 5th Block,others,Desserts,800.0,Dine-out
AB's - Absolute Barbecues,No,Yes,4.9,6404,BTM,Casual Dining,others,1600.0,Buffet
Kababji Cafe,Yes,No,3.6,0,JP Nagar,Quick Bites,others,300.0,Delivery
Cake Yard,No,No,3.4,30,Basavanagudi,Dessert Parlor,Desserts,250.0,Desserts
Smally's Resto Cafe,Yes,Yes,4.1,1852,Ulsoor,Cafe,others,650.0,Cafes
Desi Curry,No,No,3.5,0,HSR,Delivery,North Indian,450.0,Delivery
Tilt Gastro Lounge,No,Yes,4.1,1237,Koramangala 5th Block,others,others,1500.0,Dine-out
Onesta,Yes,Yes,4.4,9084,Koramangala 4th Block,others,others,600.0,Delivery
Butter Side Up,Yes,No,4.1,111,Bellandur,Dessert Parlor,"Desserts, Bakery",600.0,Delivery
Aalishan Restaurant & Caterer,Yes,No,3.5,889,Koramangala 7th Block,Casual Dining,"North Indian, Mughlai",650.0,Delivery
Smoor,Yes,No,4.4,390,Whitefield,others,others,700.0,Delivery
Magix's Parattha Roll,Yes,No,3.7,184,BTM,Quick Bites,others,400.0,Delivery
David's Kitchen,Yes,No,3.5,13,BTM,Quick Bites,"North Indian, South Indian, Chinese",200.0,Delivery
Urban Tamaasha,Yes,Yes,4.1,886,Indiranagar,Casual Dining,"North Indian, Chinese, Continental",1200.0,Dine-out
Cream House Ice Creams,No,No,3.2,0,Banaswadi,Dessert Parlor,Ice Cream,200.0,Desserts
H3O,No,No,3.1,12,Kammanahalli,others,"North Indian, Chinese",1000.0,Drinks & nightlife
Flame Pub & Restaurant - Brigade Garden,No,No,2.9,24,Brigade Road,others,others,1900.0,Drinks & nightlife
Mothers Recipe Restaurant,No,No,3.1,11,Frazer Town,Casual Dining,"South Indian, North Indian, Chinese",600.0,Delivery
Amber Rush Restobar,No,Yes,4.1,105,Residency Road,others,others,1000.0,Delivery
Suryawanshi,Yes,No,3.8,18,Bannerghatta Road,Casual Dining,others,700.0,Dine-out
LocalHost,No,No,3.5,0,Whitefield,Quick Bites,others,100.0,Delivery
Thai House,Yes,No,4.2,127,Brigade Road,Casual Dining,others,700.0,Delivery
KFC,Yes,No,3.9,332,Old Airport Road,Quick Bites,"Burger, Fast Food",400.0,Dine-out
Wats Ur Scoop?,Yes,No,4.0,56,Indiranagar,Dessert Parlor,"Desserts, Ice Cream",300.0,Desserts
Chakh Le india,Yes,No,3.2,6,Bommanahalli,Quick Bites,"North Indian, Chinese",250.0,Delivery
Tango Bango,Yes,No,3.5,124,Jeevan Bhima Nagar,"Takeaway, Delivery",others,500.0,Desserts
Potful,Yes,No,4.1,1135,Domlur,Delivery,others,650.0,Delivery
Malabar Cafe,No,No,3.6,0,Indiranagar,Quick Bites,"Kerala, South Indian",350.0,Dine-out
Basaveshwara Kanawali,No,No,3.5,13,Whitefield,Quick Bites,South Indian,250.0,Dine-out
Keventers,No,No,3.0,14,Brigade Road,others,others,400.0,Desserts
Bismillah Ambur Biryani,No,No,3.0,0,Indiranagar,Quick Bites,others,200.0,Dine-out
Anand Sweets and Savouries,Yes,No,4.0,99,Kammanahalli,Quick Bites,"Mithai, Street Food",400.0,Desserts
Machlee's Sea Food,No,No,3.2,0,Electronic City,Quick Bites,others,200.0,Dine-out
Parimala Sweets,No,No,3.5,14,Banashankari,others,"Mithai, Street Food",200.0,Desserts
24 Carats - The Capitol,No,No,3.1,46,Cunningham Road,Casual Dining,others,1000.0,Dine-out
Turkish Shawarma,Yes,No,3.6,21,BTM,"Takeaway, Delivery",others,200.0,Delivery
Amanthrana Gardenia,Yes,No,3.8,107,Brookefield,Casual Dining,others,800.0,Dine-out
Sharma's Malai & Masala,Yes,No,4.0,457,Koramangala 1st Block,Casual Dining,North Indian,650.0,Delivery
Gowdara Naati Mane,No,No,3.4,7,Residency Road,Quick Bites,others,500.0,Delivery
California Burrito,No,No,4.0,177,Bannerghatta Road,Quick Bites,others,400.0,Dine-out
New Arya Bhavan,No,No,3.1,23,MG Road,Quick Bites,others,300.0,Dine-out
Yataii - Shangri-La Hotel,No,Yes,4.2,171,Vasanth Nagar,others,others,2300.0,Dine-out
Hotel Anand Vihar,No,No,3.2,12,City Market,Casual Dining,"North Indian, Chinese",400.0,Dine-out
The Paramount Hotel,Yes,No,2.9,321,Domlur,Casual Dining,others,1000.0,Delivery
Pani Puri,No,No,3.1,8,Marathahalli,Quick Bites,Street Food,100.0,Dine-out
Bansuri Sweets,No,No,3.7,73,Koramangala 6th Block,others,others,250.0,Delivery
Smoor,Yes,No,4.4,390,Whitefield,others,others,700.0,Cafes
Southindies,No,Yes,4.0,1230,Indiranagar,Casual Dining,others,800.0,Dine-out
21 Corner Haus Cafe,No,No,3.6,0,Shanti Nagar,Quick Bites,"North Indian, Chinese, Biryani",300.0,Delivery
Polar Bear,Yes,No,4.2,213,Bellandur,Dessert Parlor,others,400.0,Desserts
Andhra Bhojanam,Yes,No,3.3,23,BTM,"Takeaway, Delivery",others,600.0,Delivery
Happy Kitchen,No,No,3.8,78,Marathahalli,Quick Bites,"North Indian, Chinese",350.0,Delivery
Dessi Cuppa,No,No,3.6,0,Kumaraswamy Layout,Dessert Parlor,others,150.0,Desserts
Krem,Yes,No,4.1,62,Koramangala 5th Block,Dessert Parlor,others,450.0,Desserts
Namma Biriyani,Yes,No,3.7,14,Koramangala 5th Block,Quick Bites,others,250.0,Delivery
Corner House Ice Cream,Yes,No,4.7,2174,Indiranagar,Dessert Parlor,"Ice Cream, Desserts",400.0,Desserts
Sri Vishnu Park,Yes,No,3.8,99,BTM,Casual Dining,"South Indian, North Indian, Chinese",350.0,Dine-out
Shaan-E-Punjab,Yes,No,2.9,84,"ITPL Main Road, Whitefield",Casual Dining,North Indian,500.0,Delivery
Aramane Donne Biriyani,Yes,No,3.9,191,BTM,Quick Bites,"Biryani, Fast Food",300.0,Dine-out
Sri Durga Nellore Mess,Yes,No,3.4,356,Banaswadi,others,others,350.0,Dine-out
Mysore Carnival Restaurant,No,No,3.8,14,Koramangala 6th Block,Quick Bites,others,350.0,Delivery
Yahiya Restaurant,No,No,3.6,0,Marathahalli,Casual Dining,"North Indian, Chinese",400.0,Delivery
Radha Rani,Yes,No,3.4,252,Brookefield,Quick Bites,others,400.0,Delivery
What's In A Name,Yes,Yes,4.1,1781,Koramangala 5th Block,others,others,1200.0,Delivery
Punjabi,No,No,2.8,0,Bellandur,Quick Bites,"North Indian, Chinese",500.0,Dine-out
Naati Manae,Yes,No,3.1,10,JP Nagar,others,"South Indian, Biryani",500.0,Dine-out
Cita Pani,Yes,Yes,3.9,53,Indiranagar,Quick Bites,others,350.0,Delivery
Shekhawati Restaurant,Yes,No,3.7,62,Sarjapur Road,Quick Bites,North Indian,300.0,Delivery
OCEA HOTEL,Yes,No,3.7,279,Brigade Road,Casual Dining,"North Indian, Chinese, Seafood",800.0,Dine-out
Anupam's Coast II Coast,Yes,Yes,4.2,856,Church Street,Casual Dining,others,1400.0,Dine-out
Domino's Pizza,Yes,No,3.8,122,MG Road,Quick Bites,"Pizza, Fast Food",400.0,Dine-out
NoLimmits Lounge and Club,Yes,Yes,4.0,2112,Brigade Road,others,others,2000.0,Delivery
Corner House Ice Cream,Yes,No,4.5,949,Marathahalli,Dessert Parlor,"Ice Cream, Desserts",400.0,Desserts
Samosa Express,Yes,No,3.1,9,BTM,Quick Bites,Street Food,200.0,Delivery
Sree Saravana Bhavan,No,No,3.2,14,Marathahalli,Quick Bites,South Indian,400.0,Dine-out
Hotel NLC Grand,No,No,3.4,0,Marathahalli,Quick Bites,others,300.0,Dine-out
Koshe Kosha,Yes,No,4.0,576,Koramangala 1st Block,Casual Dining,others,600.0,Dine-out
Shree Mahalakshmi Sweets,Yes,No,3.3,10,HSR,others,"Mithai, Street Food",100.0,Delivery
Brooks 37,Yes,Yes,4.1,237,Brookefield,"Casual Dining, Bar",others,1000.0,Dine-out
Bistro Claytopia,Yes,Yes,4.1,1847,Koramangala 1st Block,Cafe,others,600.0,Dine-out
Skylit - Citrus Hotels,No,Yes,3.6,259,Bellandur,others,others,1500.0,Drinks & nightlife
Amaravati,No,No,3.6,39,BTM,Quick Bites,"North Indian, Chinese",400.0,Dine-out
Healthy Parathawala,Yes,No,3.8,0,BTM,Quick Bites,North Indian,200.0,Delivery
Fatso's,Yes,No,3.8,72,Brigade Road,Cafe,others,650.0,Delivery
Biryani King,No,No,3.2,0,New BEL Road,Quick Bites,"Biryani, North Indian, Chinese",400.0,Delivery
Sultan's Biryani,Yes,No,2.9,38,Kalyan Nagar,Delivery,"Biryani, North Indian",700.0,Delivery
White Horse Pulse Resto Bar,No,No,3.3,6,Bellandur,others,"North Indian, Chinese",1000.0,Drinks & nightlife
Tango,No,No,3.8,51,Basaveshwara Nagar,Quick Bites,Fast Food,200.0,Dine-out
Bhojan@99,Yes,No,3.3,0,Bannerghatta Road,Quick Bites,Fast Food,200.0,Delivery
The Biriyani Factory,Yes,No,3.1,29,BTM,Quick Bites,"North Indian, Biryani",500.0,Delivery
Shawarma Inc,Yes,No,3.2,31,Banashankari,others,others,250.0,Delivery
Trick Or Treat,No,No,4.2,618,Brigade Road,Cafe,others,500.0,Delivery
The Night Watch Express,Yes,No,3.0,53,Koramangala 1st Block,"Takeaway, Delivery","North Indian, Chinese",500.0,Delivery
Canton,Yes,No,3.4,197,Jayanagar,Casual Dining,others,800.0,Dine-out
Tayabbs,No,No,3.7,70,Ulsoor,Quick Bites,others,500.0,Dine-out
Kabab Magic,Yes,No,3.9,74,Richmond Road,Casual Dining,others,500.0,Delivery
Zero Kelvin,Yes,No,4.3,169,Koramangala 4th Block,Dessert Parlor,"Desserts, Beverages",450.0,Desserts
Green Go,Yes,No,3.8,0,Bannerghatta Road,others,others,200.0,Delivery
Kargeens,Yes,No,4.1,992,Koramangala 6th Block,Cafe,others,600.0,Dine-out
Canopy,No,No,3.0,108,MG Road,Casual Dining,others,800.0,Dine-out
South Indian Kitchen,No,No,3.3,6,JP Nagar,Quick Bites,others,300.0,Delivery
Uttar Karnataka Meals Restaurant,No,No,3.8,26,Jayanagar,Quick Bites,South Indian,200.0,Dine-out
Mani's Dum Biryani,Yes,No,3.9,375,Koramangala 1st Block,Casual Dining,Biryani,750.0,Delivery
D2V Cafe,No,No,3.6,13,Bannerghatta Road,Cafe,Cafe,700.0,Dine-out
Tastebuds,Yes,No,3.7,23,Sarjapur Road,others,"Bakery, Fast Food",300.0,Desserts
Lassi Corner,Yes,No,3.4,0,Vijay Nagar,others,"Beverages, Desserts",300.0,Delivery
Cafe Braqa,Yes,Yes,4.0,144,Indiranagar,Cafe,others,700.0,Delivery
GMT - Gelateria Montecatini Terme,Yes,No,4.4,282,Indiranagar,Dessert Parlor,"Desserts, Ice Cream",300.0,Desserts
Maruti Sweets,Yes,No,3.6,0,HSR,others,"Mithai, Street Food",150.0,Desserts
Me And My Cake,No,No,3.5,18,Marathahalli,Bakery,"Bakery, Desserts",500.0,Desserts
3G's - Gulp & Groove,Yes,Yes,4.1,662,Malleshwaram,others,others,1100.0,Pubs and bars
Mamma Mexicana,Yes,Yes,2.2,406,MG Road,Casual Dining,others,1000.0,Dine-out
Gokul Kuteera,Yes,No,3.9,257,Indiranagar,Casual Dining,"North Indian, Chinese, South Indian",650.0,Dine-out
Sweet Truth,Yes,No,4.2,50,Koramangala 8th Block,Delivery,"Bakery, Desserts",500.0,Delivery
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,3.8,44,Koramangala 7th Block,Delivery,Continental,500.0,Delivery
Chin Lung Resto Bar,No,No,3.9,378,Residency Road,others,"North Indian, Chinese, Fast Food",1000.0,Pubs and bars
Ice Burg,No,No,4.2,0,JP Nagar,Quick Bites,others,300.0,Cafes
Sardarji Ka Dhaba,Yes,No,4.0,754,Hosur Road,Quick Bites,North Indian,250.0,Delivery
Tandoori Ghar,No,No,4.0,0,Bellandur,Casual Dining,"North Indian, Chinese, Biryani",400.0,Delivery
Nostradamus Bar & Lounge,No,No,3.6,14,Cunningham Road,others,others,1500.0,Dine-out
Make It Roll,Yes,No,3.8,33,HSR,Quick Bites,others,400.0,Delivery
Black Kitchen,Yes,No,3.7,26,Koramangala 6th Block,Quick Bites,"Kerala, South Indian",400.0,Delivery
Nostradamus Bar & Lounge,No,No,3.6,14,Cunningham Road,others,others,1500.0,Dine-out
Shiva's Naram Garam,No,No,3.3,4,Banaswadi,Quick Bites,"North Indian, Chinese",250.0,Dine-out
The Biere Club,Yes,Yes,4.3,3492,Lavelle Road,others,others,1700.0,Dine-out
Nandhanam Restaurant,Yes,No,3.8,8,HSR,Quick Bites,others,300.0,Dine-out
Vietnamese Kitchen,Yes,No,3.6,105,Banashankari,Casual Dining,others,700.0,Delivery
Hotel Dil Coorg,Yes,No,3.6,79,Ulsoor,Quick Bites,"North Indian, South Indian",300.0,Dine-out
China Pearl,Yes,No,4.1,155,Kalyan Nagar,Casual Dining,"Chinese, Momos",1100.0,Delivery
WOW! Momo,Yes,No,3.6,98,Electronic City,others,others,400.0,Dine-out
Burj Hotel,Yes,No,3.5,57,Bannerghatta Road,Quick Bites,"North Indian, Chinese",350.0,Dine-out
WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.0,85,Residency Road,others,others,400.0,Desserts
Cafe Thulp,Yes,Yes,4.0,344,Bellandur,Cafe,others,1000.0,Delivery
Hotel Orchid,No,No,3.7,0,BTM,Casual Dining,others,500.0,Delivery
The Grill House,Yes,Yes,4.0,178,Kalyan Nagar,Casual Dining,others,1000.0,Dine-out
Biriyani Zone,Yes,No,3.7,22,CV Raman Nagar,Casual Dining,others,800.0,Delivery
Ifruit Ice Cream,Yes,No,3.3,4,Kumaraswamy Layout,Dessert Parlor,"Desserts, Ice Cream",150.0,Delivery
The Spice Bazaar,No,Yes,4.2,337,Lavelle Road,"Casual Dining, Bar","North Indian, Mughlai",1000.0,Buffet
Hungerbreak 24x7,Yes,No,3.0,7,Koramangala 8th Block,Delivery,others,300.0,Delivery
Kitchen King,No,No,3.2,0,Bannerghatta Road,Quick Bites,"South Indian, North Indian, Chinese",250.0,Dine-out
Hatti Punjab Di,No,No,3.3,24,HSR,Casual Dining,"North Indian, Chinese",600.0,Dine-out
Mom's Kitchen,No,No,3.6,0,Whitefield,"Takeaway, Delivery","North Indian, Chinese, South Indian",250.0,Delivery
Facebake,No,No,4.0,50,Marathahalli,Dessert Parlor,"Desserts, Bakery",300.0,Delivery
Pizza Stop,Yes,No,3.2,166,Domlur,Quick Bites,others,600.0,Delivery
Egg House,No,No,2.9,14,Koramangala 5th Block,Quick Bites,others,400.0,Dine-out
Mangala Hotel,Yes,No,3.6,96,Koramangala 1st Block,Quick Bites,others,300.0,Delivery
Chutney Chang,Yes,Yes,4.2,4752,Church Street,Casual Dining,others,1500.0,Dine-out
Nalukettu,Yes,No,3.5,4,HBR Layout,Delivery,Kerala,450.0,Delivery
Vegetarea,Yes,No,3.8,40,BTM,"Takeaway, Delivery",South Indian,250.0,Delivery
Grapevine,Yes,Yes,4.1,733,HSR,Cafe,others,1200.0,Cafes
20 Feet High,Yes,Yes,4.0,932,Church Street,"Casual Dining, Bar",others,1000.0,Drinks & nightlife
Cake Inc.,No,No,3.4,0,Domlur,Bakery,"Bakery, Desserts",450.0,Desserts
The Tower Of Pizza,No,No,2.9,16,Koramangala 5th Block,Quick Bites,others,500.0,Delivery
Dadaba's,No,No,3.3,6,Jayanagar,Quick Bites,Fast Food,300.0,Dine-out
The Choux Box,No,No,3.5,11,Koramangala 6th Block,"Takeaway, Delivery","Desserts, Bakery",300.0,Delivery
Sugarly Spiced,No,No,3.9,0,Sanjay Nagar,Delivery,Cafe,600.0,Delivery
Halli Donne Biryani Nati Style,Yes,No,3.4,77,Basaveshwara Nagar,Quick Bites,Biryani,400.0,Delivery
Me And My Cake,Yes,No,3.1,8,JP Nagar,others,"Bakery, Desserts",500.0,Desserts
Village Donne Biryani,Yes,No,3.3,50,Koramangala 5th Block,Quick Bites,Biryani,300.0,Delivery
Faasos,Yes,No,3.8,101,Vasanth Nagar,Delivery,others,500.0,Delivery
Sherlock's Pub,No,Yes,4.0,739,Indiranagar,others,others,1500.0,Pubs and bars
Mast Kalandar,No,No,2.3,176,JP Nagar,Casual Dining,North Indian,450.0,Dine-out
Pooja Veg,No,No,3.1,9,Frazer Town,Quick Bites,South Indian,100.0,Delivery
Vijayalakshmi,Yes,No,4.0,49,Basavanagudi,Quick Bites,South Indian,200.0,Delivery
Rock Stone Ice Cream Factory,Yes,No,4.0,128,BTM,Dessert Parlor,Ice Cream,230.0,Delivery
Croons,No,No,3.8,26,Brigade Road,Dessert Parlor,Desserts,350.0,Desserts
Vandana Mess,No,No,3.2,0,Bellandur,others,South Indian,200.0,Delivery
RK Fast Food,No,No,3.1,0,BTM,Quick Bites,"South Indian, Chinese",300.0,Dine-out
Natural Mumbai Kulfi,Yes,No,3.5,8,BTM,Dessert Parlor,Ice Cream,130.0,Delivery
Sri Udupi Park,Yes,No,3.7,231,Marathahalli,Casual Dining,others,500.0,Dine-out
Oyalo,Yes,No,3.2,9,Malleshwaram,Quick Bites,Pizza,300.0,Delivery
Limra Hotel,Yes,No,3.3,26,BTM,Quick Bites,"Chinese, North Indian",300.0,Delivery
Soul Indian Specialty - Svenska Design Hotel,Yes,Yes,3.7,266,Electronic City,others,others,2000.0,Delivery
Black Kitchen,Yes,No,3.7,26,Koramangala 6th Block,Quick Bites,"Kerala, South Indian",400.0,Dine-out
The Egg Factory,Yes,No,4.0,380,New BEL Road,Casual Dining,others,750.0,Delivery
Sri Yaksha Shiv Sagar,Yes,No,3.6,24,Banashankari,Casual Dining,"North Indian, Chinese",600.0,Dine-out
Reddy's Hotel,No,No,3.4,0,Indiranagar,Quick Bites,Andhra,150.0,Delivery
Barbeque Delight,Yes,Yes,3.7,192,Sarjapur Road,Casual Dining,others,800.0,Dine-out
Lemon Krust,Yes,No,4.0,39,Whitefield,Bakery,"Bakery, Fast Food",150.0,Desserts
Billionaires Cafe,No,No,3.8,47,Koramangala 5th Block,Cafe,others,600.0,Dine-out
Biryani Park,Yes,No,3.4,85,Brookefield,Casual Dining,others,500.0,Dine-out
Sweet Chariot,Yes,No,2.8,25,Bannerghatta Road,Dessert Parlor,"Bakery, Fast Food",500.0,Desserts
Myu Bar at Gilly's Redefined,No,Yes,4.5,1250,Koramangala 4th Block,others,others,1200.0,Drinks & nightlife
Al Baith,No,No,3.6,0,Koramangala 7th Block,Quick Bites,"North Indian, Chinese",300.0,Dine-out
Pavan Tiffin Center,Yes,No,3.3,9,HSR,Quick Bites,South Indian,300.0,Delivery
Best Biryani,No,No,3.5,0,Bellandur,Quick Bites,others,300.0,Dine-out
Lalbagh Grand,Yes,No,3.1,23,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese",250.0,Delivery
Gelato Italiano,Yes,No,3.8,32,BTM,others,others,200.0,Delivery
Third Wave Coffee Roasters @ The Bohemian House,No,No,4.2,0,Richmond Road,Cafe,others,800.0,Desserts
Aami Bangali,Yes,No,3.6,74,Koramangala 5th Block,Casual Dining,others,700.0,Dine-out
Ginger Greens,No,Yes,3.9,300,Kalyan Nagar,Casual Dining,others,750.0,Delivery
Shater Grill House,No,No,3.5,8,BTM,Casual Dining,others,700.0,Dine-out
Plantain Leaf,Yes,No,3.9,521,Thippasandra,Casual Dining,others,600.0,Dine-out
K.C Das,No,No,3.4,8,Bannerghatta Road,others,"Mithai, Street Food",200.0,Desserts
BMR Hyderabad Biryani,Yes,No,3.6,24,BTM,"Takeaway, Delivery",Biryani,400.0,Delivery
Oh My Chaat,Yes,No,3.1,19,Frazer Town,Quick Bites,Street Food,300.0,Delivery
The Bengal Rasoi,No,No,3.2,5,Kaggadasapura,Delivery,others,350.0,Delivery
Food Treat,Yes,No,3.3,12,Bellandur,Quick Bites,"North Indian, South Indian",300.0,Delivery
Sk Grand Hotel,No,No,3.2,6,Jayanagar,Quick Bites,South Indian,400.0,Delivery
McDonald's,Yes,No,3.6,59,BTM,Quick Bites,"Burger, Fast Food",500.0,Dine-out
Baskin Robbins,Yes,No,3.7,42,HSR,Dessert Parlor,"Ice Cream, Desserts",250.0,Desserts
Turquoise,No,No,2.8,56,JP Nagar,others,North Indian,1200.0,Dine-out
Bazaar - Zone By The Park,No,Yes,4.0,415,Electronic City,Casual Dining,others,1400.0,Dine-out
Tandoori,Yes,No,3.9,0,Koramangala 5th Block,Quick Bites,others,300.0,Delivery
Fandom at Gilly's Redefined,No,No,3.8,103,Koramangala 4th Block,others,Finger Food,1500.0,Drinks & nightlife
